Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Email,Chrome 72.0.3626.109,,2019-03-12 16:12:36,2019-03-12 16:13:50,1m - 14.130s,PASSED
,,,,,,
Test Cases/Email,Chrome 72.0.3626.109,,2019-03-12 16:12:38,2019-03-12 16:13:50,1m - 11.608s,PASSED
"openBrowser(""https://www.mail.com/int"")",Chrome 72.0.3626.109,,2019-03-12 16:12:41,2019-03-12 16:13:03,22.379s,PASSED
"click(findTestObject(""a_Log in""))",Chrome 72.0.3626.109,,2019-03-12 16:13:03,2019-03-12 16:13:04,1.410s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:04,2019-03-12 16:13:07,2.179s,PASSED
"setText(findTestObject(""input_Email_username""), ""katalontest@dr.com"")",Chrome 72.0.3626.109,,2019-03-12 16:13:07,2019-03-12 16:13:07,0.924s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:07,2019-03-12 16:13:09,2.024s,PASSED
"setText(findTestObject(""input_Password_password""), ""@Admin123"")",Chrome 72.0.3626.109,,2019-03-12 16:13:09,2019-03-12 16:13:10,0.620s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:10,2019-03-12 16:13:12,2.019s,PASSED
"click(findTestObject(""span_Log in""))",Chrome 72.0.3626.109,,2019-03-12 16:13:12,2019-03-12 16:13:19,7.183s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:19,2019-03-12 16:13:21,2.041s,PASSED
"click(findTestObject(""span_E-mail""))",Chrome 72.0.3626.109,,2019-03-12 16:13:21,2019-03-12 16:13:25,3.291s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:25,2019-03-12 16:13:27,2.018s,PASSED
"click(findTestObject(""a_Compose E-mail""))",Chrome 72.0.3626.109,,2019-03-12 16:13:27,2019-03-12 16:13:28,1.713s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:28,2019-03-12 16:13:30,2.015s,PASSED
"setText(findTestObject(""input_To""), ""rafaelpolo@cbit-online.com"")",Chrome 72.0.3626.109,,2019-03-12 16:13:30,2019-03-12 16:13:33,2.327s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:33,2019-03-12 16:13:35,2.012s,PASSED
"click(findTestObject(""span_Subject""))",Chrome 72.0.3626.109,,2019-03-12 16:13:35,2019-03-12 16:13:35,0.705s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:35,2019-03-12 16:13:37,2.010s,PASSED
"setText(findTestObject(""input_Subject_composeHeadersubjectmailObjectContentmailObjectInput""), ""Prueba katalon"")",Chrome 72.0.3626.109,,2019-03-12 16:13:37,2019-03-12 16:13:38,1.033s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:38,2019-03-12 16:13:40,2.011s,PASSED
"click(findTestObject(""span_icon""))",Chrome 72.0.3626.109,,2019-03-12 16:13:40,2019-03-12 16:13:41,0.841s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:41,2019-03-12 16:13:43,2.017s,PASSED
"click(findTestObject(""span_Well""))",Chrome 72.0.3626.109,,2019-03-12 16:13:43,2019-03-12 16:13:45,1.151s,PASSED
delay(2),Chrome 72.0.3626.109,,2019-03-12 16:13:45,2019-03-12 16:13:47,2.026s,PASSED
"click(findTestObject(""button_Send (1)""))",Chrome 72.0.3626.109,,2019-03-12 16:13:47,2019-03-12 16:13:50,3.356s,PASSED
